identity	permutation_1	permutation_2	permutation_3
0	0	0	0
1	1	1	0
1	1	1	1
1	1	1	1
0	0	0	0
0	0	1	0
1	0	0	0
1	1	1	1
1	1	0	1
1	0	0	0
1	1	1	1
1	1	1	0
0	0	0	0
0	0	0	0
1	0	0	0
1	1	1	1
1	0	1	0
1	1	1	1
1	1	1	1
0	0	0	0
1	0	1	1
1	1	0	0
0	1	0	1
0	0	0	0
1	1	1	1
0	0	0	0
1	1	1	0
0	1	0	0
0	0	1	0
1	1	0	0
1	1	1	1
0	1	0	0
1	0	0	0
1	1	1	1
1	1	1	1
1	0	0	0
1	1	0	0
1	1	1	1
1	1	1	0
0	0	0	0
0	1	0	1
1	1	1	1
1	0	0	1
0	0	1	1
0	0	1	0
0	0	0	0
0	1	0	0
0	0	0	0
1	1	1	1
0	0	1	1
0	0	0	1
0	0	1	1
0	1	1	0
0	0	0	0
1	1	1	1
1	1	1	1
0	1	0	1
0	0	0	0
0	0	0	0
0	0	0	0
1	1	1	0
1	1	1	1
1	1	1	1
1	0	0	0
1	0	0	1
1	1	1	1
0	1	0	1
1	1	0	1
1	1	1	1
0	1	0	0
1	1	1	1
0	0	0	0
0	0	0	0
1	1	0	0
0	0	0	0
0	0	0	0
1	0	0	1
1	0	0	0
1	0	0	0
0	1	0	1
1	0	1	0
1	1	0	0
1	0	1	1
1	1	1	1
0	0	0	0
0	0	1	0
0	0	0	0
1	1	0	1
0	0	0	1
1	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
1	1	1	1
1	0	1	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	1
0	0	0	0
