identity	permutation_1	permutation_2	permutation_3
C	C	C	C
C	C	C	B
D	D	D	D
B	B	B	B
D	D	D	D
C	D	A	D
C	D	D	D
C	C	C	C
D	D	C	D
C	A	B	D
D	D	D	D
B	B	B	A
C	C	C	A
B	D	B	D
B	A	C	D
D	D	D	D
A	C	A	D
B	B	B	B
C	C	C	C
A	A	A	B
D	C	D	D
B	B	A	A
B	A	B	A
B	B	B	B
D	D	D	D
B	C	C	B
B	B	B	A
B	C	B	B
C	C	B	C
A	A	B	B
B	B	B	B
D	C	D	D
C	B	B	D
A	A	A	A
A	A	A	A
B	A	A	A
A	A	C	D
A	A	A	A
B	B	B	A
B	B	B	B
C	D	B	D
A	A	A	A
B	A	A	B
B	B	C	C
D	D	C	B
C	C	C	C
C	A	C	C
C	A	A	B
C	C	C	C
D	D	C	C
B	A	B	C
A	A	D	D
C	A	A	C
A	A	A	A
A	A	A	A
C	C	C	C
C	D	B	D
B	A	B	A
B	B	B	B
C	B	B	C
A	A	A	B
A	A	A	A
A	A	A	A
C	A	A	A
B	A	D	B
D	D	D	D
D	B	D	B
D	D	C	D
A	A	A	A
B	C	D	D
D	D	D	D
B	C	C	B
C	B	C	B
C	C	D	D
A	A	A	A
C	A	C	C
C	B	B	C
B	D	C	C
B	A	C	C
C	D	A	D
B	D	B	D
C	C	B	D
C	B	C	C
D	D	D	D
C	A	A	C
A	A	C	A
A	A	A	A
A	A	D	A
C	C	C	B
C	A	A	D
C	C	C	C
B	B	B	B
B	A	C	C
B	B	B	B
B	A	B	B
D	D	A	D
C	D	C	D
B	A	B	A
A	A	D	D
C	B	B	C
