id,name,type,question,ocena,answers/0,answers/1,answers/2,answers/3,correct_answer_index,answers/4
0,Matematyka,Egzaminy Gimnazjalne,Krawędź czworościanu foremnego ma długość 4 cm. Pole powierzchni całkowitej tego czworościanu jest równe,1,4√3 cm2,8√3 cm2,16√3 cm2,32√3 cm2,2,
1,Matematyka,Egzaminy Gimnazjalne,"Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Odległość na osi liczbowej między największą i najmniejszą spośród liczb: 0, 3/4, -5/2, -2 jest równa",1,1 3/4,3 1/4,2 3/4,1 1/4,1,
2,Matematyka,Egzaminy Gimnazjalne,"Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Połowa uczestników wycieczki urodziła się w Polsce, co trzeci urodził się w Niemczech, a pięciu pozostałych we Francji. W wycieczce brało udział",1,26 osób.,30 osób.,46 osób.,60 osób.,1,
3,Matematyka,Egzaminy Gimnazjalne,"Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Liczba (3^2 + 3^2 + 3^2)/3^3 jest równa",1qq,3^0,3^1,3^2,3^3,0,
4,Matematyka,Egzaminy Gimnazjalne,"Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Cena płyty kompaktowej po 30% obniżce wynosi 49 zł. Cena tej płyty przed obniżką była równa",1,"14,70 zł.","34,30 zł.","63,70 zł.","70,00 zł.",3,
5,Matematyka,Egzaminy Gimnazjalne,"Piechur porusza się z prędkością 4 km/h. Każdy jego krok ma długość 0,8 m. Ile kroków wykona piechur w czasie 12 minut? Wybierz odpowiedź spośród podanych.",1q,1000 kroków,800 kroków,640 kroków,100 kroków,0,
6,Matematyka,Egzaminy Gimnazjalne,"Basen ma kształt prostopadłościanu, którego podstawa (dno basenu) ma wymiary 15m x 10m Do basenu wlano 240 m3 wody, która wypełniła go do 4/5 głębokości. Jaka jest głębokość tego basenu? Wybierz odpowiedź spośród podanych.",1,"1,28 m","1,5 m",2 m,3 m,2,
7,Matematyka,Egzaminy Gimnazjalne,"Długość trasy na mapie w skali 1 : 10 000 000 jest równa 7,7 cm. W rzeczywistości trasa ta ma długość",1q,"7,7 km",77 km,770 km,7700 km,2,
8,Matematyka,Egzaminy Gimnazjalne,"Rodzice Jacka kupili 36 butelek wody mineralnej o pojemnościach 0,5 litra i 1,5 litra. W sumie zakupili 42 litry wody. Przyjmij, że x oznacza liczbę butelek o pojemności 0,5 litra, y - liczbę butelek o pojemności 1,5 litra. Który układ równań umożliwi obliczenie, ile zakupiono mniejszych butelek wody mineralnej, a ile większych?",1q,"x+y=42; 0,5x + 1,5y=36","x = 36-y; 0,5x + 1,5y=42","x+y=36; (x+y)(0,5+1,5)=42","x=42-y; 0,5y+1,5x=36",1,
9,Matematyka,Egzaminy Gimnazjalne,"Do naczynia o objętości V = 0,75 l wlano 0,45 l wody. Jaki procent objętości tego naczynia stanowi objętość wody?",1q,6,"16,(6)","33,75",60,3,
10,Matematyka,Egzaminy Gimnazjalne,"Średnia odległość Marsa od Słońca wynosi 2,28⋅ 10^8 km. Odległość ta zapisana bez użycia potęgi jest równa",1q,22 800 000 km,228 000 000 km,2 280 000 000 km,22 800 000 000 km,1,
11,Matematyka,Egzaminy Gimnazjalne,"Adam:?, Emil:25%, Agata:37,5%, Jacek:7,5%, Ela:10%. Ile procent uczniów głosowało na Adama?",1q,25,20,10,80,1,
12,Matematyka,Egzaminy Gimnazjalne,"Adam:?, Emil:25%, Agata:37,5%, Jacek:7,5%, Ela:10%. Jaka część uczniów głosowała na Agatę?",1q,Mniej niż 1/4 ogółu,"Mniej niż 1/3, ale więcej niż 1/4 ogółu.","Więcej niż 1/3, ale mniej niż 2/5 ogółu.",Więcej niż 2/5 ogółu.,2,
13,Matematyka,Egzaminy Gimnazjalne,"Jajo strusia jest około 3 razy dłuższe od jaja kury. Jeśli założyć, że żółtka tych jaj mają kształt kul podobnych w skali 3 : 1, to żółtko w strusim jaju ma objętość większą niż żółtko w jaju kurzym",1,27 razy.,9 razy.,6 razy.,3 razy.,0,
